rings,in
0,1
0.02,2
0.0234907,3
0.0275906,4
0.032406,5
0.0380619,6
0.044705,7
0.0525075,8
0.0616718,9
0.0724355,10
0.0850779,11
0.0999268,12
0.117367,13
0.137852,14
0.161911,15
0.19017,16
0.223361,17
0.262345,18
0.308133,19
0.361912,20
0.425078,21
0.499268,22
0.586407,23
0.688754,24
0.808965,25
0.950155,26
1.11599,27
1.31077,28
1.53954,29
1.80824,30
2.12383,31
2.49451,32
2.92989,33
3.44125,34
4.04186,35
4.7473,36
5.57586,37
6.54903,38
7.69205,39
9.03457,40
10.6114,41
12.4634,42
14.6387,43
17.1937,44
20.1945,45
23.7191,46
27.8589,47
32.7212,48
38.4321,49
45.1398,50
53.0182,51
62.2716,52
